Chemicalformula,Synonyms,CAS_Number
AuBr3,gold(III)bromide,10294-28-7
AuCN,gold(I)cyanide,506-65-0
AuCl,gold(I)chloride,10294-29-8
AuCl3,gold(III)chloride,13453-07-1
AuF3,gold(III)fluoride,14720-21-9
AuF5,gold(V)fluoride,57542-85-5
AuI,gold(I)iodide,10294-31-2
AuI3,gold(III)iodide,31032-13-0
Au(OH)3,gold(III)hydroxide,1303-52-2
AuSe,gold(II)selenide,23331-11-5
AuTe,gold(II)telluride,37043-71-3
Au2O3,gold(III)oxide,1303-58-8
Au2S,gold(I)sulfide,1303-60-2
Au2S3,gold(III)sulfide,1303-61-3
Au2(SeO4)3,gold(III)selenate,10294-32-3
Au2Se3,gold(III)selenide,1303-62-4
Au4Cl8,"gold(I,III)chloride",62792-24-9
Au4F8,"gold(I,III)fluoride",14270-21-4
BAs,boronarsenide,12005-69-5
BAsO4,boronarsenate,13510-31-1
BBr3,borontribromide,10294-33-4
BCl3,borontrichloride,10294-34-5
BF3,borontrifluoride,7637-07-2
BI3,borontriiodide,13517-10-7
BN,boronnitride,10043-11-5
BP,boronphosphide,20205-91-8
BPO4,boronphosphate,13308-51-5
B2Cl4,diborontetrachloride,13701-67-2
B2F4,diborontetrafluoride,13965-73-6
B2H6,diboronhexahydride,19287-45-7
B2O3,diborontrioxide,1303-86-2
B2S3,diborontrisulfide,12007-33-9
B4C,boroncarbide,12069-32-8
B4H10,borondecahydride,18283-93-7
BaAl2O4,bariumaluminate,12004-04-5
Ba(AsO3)2,bariumarsenite,125687-68-5
Ba(AsO4)2,bariumarsenate,56997-31-0
BaB6,bariumboride,12046-08-1
BaBr2,bariumbromide,10553-31-8
BaBr2-2H2O,bariumbromidedihydrate,7791-28-8
Ba(CHO2)2,bariumformate,541-43-5
Ba(CN)2,bariumcyanide,542-62-1
BaCO3,bariumcarbonate,513-77-9
BaC2,bariumcarbide,50813-65-5
Ba(C2H3O2)2,bariumacetate,543-80-6
BaC2O4,bariumoxalate,516-02-9
BaC4H4O6,bariumtartrate,5908-81-6
Ba(C18H35O2)2,bariumstearate,6865-35-6
Ba(ClO3)2,bariumchlorate,13477-00-4
Ba(ClO4)2,bariumperchlorate,13465-95-7
BaCl2,bariumchloride,10361-37-2
BaCl2-2H2O,bariumchloridedihydrate,10326-27-9
BaCrO4,bariumchromate,10294-40-3
BaF2,bariumfluoride,7787-32-8
Ba(HS)2,bariumhydrosulfide,25417-81-6
BaH2,bariumhydride,13477-09-3
BaHgI4,bariumtetraiodomercurate,10048-99-4
BaI2,bariumiodide,13718-50-8
BaI2-2H2O,bariumiodidedihydrate,7787-33-9
BaMnO4,bariummanganate,7787-35-1
Ba(MnO4)2,bariumpermanganate,7787-36-2
BaMoO4,bariummolybdate,7787-37-3
Ba(NO2)2,bariumnitrite,13465-94-6
Ba(NO3)2,bariumnitrate,10022-31-8
BaN6,bariumazide,18810-58-7
Ba(NbO3)2,bariumniobate,12009-14-2
BaO,bariumoxide,1304-28-5
Ba(OH)2,bariumhydroxide,17194-00-2
BaO2,bariumperoxide,1304-29-6
Ba(PO3)2,bariummetaphosphate,13466-20-1
Ba(ReO4)2,bariumperrhenate,13768-52-0
BaS,bariumsulfide,21109-95-5
Ba(SCN)2,bariumthiocyanate,2092-17-3
BaSO3,bariumsulfite,7787-39-5
BaSO4,bariumsulfate,7727-43-7
BaS2O3,bariumthiosulfate,35112-53-9
BaSe,bariumselenide,1304-39-8
BaSeO3,bariumselenite,13718-59-7
BaSeO4,bariumselenate,7787-41-9
BaSiF6,bariumhexafluorosilicate,17125-80-3
BaSiO3,bariummetasilicate,13255-26-0
BaSi2,bariumsilicide,1304-40-1
BaSi2O5,bariumdisilicate,12650-28-1
BaSnO3,bariumstannate,12009-18-6
BaTiO3,bariumtitanate,12047-27-7
Ba(VO3)2,bariumvanadate,22652-39-7
BaWO4,bariumtungstate,7787-42-0
BaZrO3,bariumzirconate,12009-21-1
Ba2P2O7,bariumpyrophosphate,13466-21-2
Ba3(CrO4)2,bariumdichromate,12345-14-1
Ba3N2,bariumnitride,12047-79-9
Ba3(VO4)2,bariumorthovanadate,39416-30-3
BeAl2O4,berylliumaluminate,120041-06-7
Be(BH4)2,berylliumborohydride,17440-85-6
BeB2,berylliumboride,12228-40-9
BeBr2,berylliumbromide,7787-46-4
Be(CHO2)2,berylliumformate,1111-71-3
Be(C2H3O2)2,berylliumacetate,543-81-7
Be(C5H7O2)2,berylliumacetylacetonate,10210-64-7
BeCl2,berylliumchloride,7787-47-5
BeF2,berylliumfluoride,7787-49-7
BeH2,berylliumhydride,7787-52-2
BeI2,berylliumiodide,7787-53-3
Be(NO3)2,berylliumnitrate,13597-99-4
Be(NO3)2-4H2O,berylliumnitratetetrahydrate,13510-48-0
Be(NO3)2-3H2O,berylliumnitratetrihydrate,7787-55-5
BeO,berylliumoxide,1304-56-9
Be(OH)2,berylliumhydroxide,13327-32-7
BeS,berylliumsulfide,13598-22-6
BeSO4,berylliumsulfate,13510-49-1
BeSO4-4H2O,berylliumsulfatetrihydrate,7787-56-6
BeSe,berylliumselenide,12232-25-6
BeTe,berylliumtelluride,12232-27-8
Be2C,berylliumcarbide,506-66-1
Be2SiO4,berylliumsilicate,13598-00-0
Be3N2,berylliumnitride,1304-54-7
Be3(PO4)2,berylliumphosphate,13598-15-7
BiBr3,bismuth(III)bromide,7787-58-8
Bi(CHO2)3,bismuth(III)formate,25573-24-4
BiC6H5O7,bismuth(III)citrate,813-93-4
BiCl3,bismuth(III)chloride,7787-60-2
BiF3,bismuth(III)fluoride,7787-61-3
BiF5,bismuth(V)fluoride,7787-62-4
BiH3,bismuth(III)hydride,18288-22-7
BiI3,bismuth(III)iodide,7787-64-6
BiNbO4,bismuth(III)orthoniobate,12272-28-5
BiOBr,bismuth(III)oxybromide,7787-57-7
BiOCl,bismuth(III)oxychloride,7787-59-9
Bi(OH)3,bismuth(III)hydroxide,10361-43-0
BiOI,bismuth(III)oxyiodide,7787-63-5
BiONO3,bismuth(III)oxynitrate,10361-46-3
(BiO)2CO3,bismuth(III)subcarbonate,5892-10-4
BiPO4,bismuth(III)phosphate,10049-01-1
BiTaO4,bismuth(III)orthotantalate,12272-29-6
BiVO4,bismuth(III)vanadate,14059-33-7
Bi2(C2O4)3,bismuth(III)oxalate,6591-55-5
Bi2(MoO4)3,bismuth(III)molybdate,51898-99-8
Bi2O3,bismuth(III)oxide,1304-76-3
Bi2O4,bismuth(IV)peroxide,12048-50-9
Bi2S3,bismuth(III)sulfide,1345-07-9
Bi2Se3,bismuth(III)selenide,12068-69-8
Bi2(SnO4)3,bismuth(III)stannate,7787-68-0
Bi2Te3,bismuth(III)telluride,1304-82-1
Bi4(TiO4)3,bismuth(III)titanate,12048-51-0
Bi5O(OH)9(NO3)4,bismuth(III)subnitrate,1304-85-4
BkBr3,berkelium(III)bromide,22787-71-9
BkCl3,berkelium(III)chloride,13536-46-4
BkF3,berkelium(III)fluoride,20716-88-5
BkF4,berkelium(IV)fluoride,22422-27-1
BkI3,berkelium(III)iodide,23171-53-1
BkO,berkelium(II)oxide,70424-36-1
BkO2,berkelium(IV)oxide,12010-84-3
Bk2O3,berkelium(III)oxide,12310-58-6
BrCl,brominemonochloride,13863-41-7
BrF,brominemonofluoride,13863-59-7
BrF3,brominetrifluoride,7787-71-5
BrF5,brominepentafluoride,7789-30-2
BrN3,bromineazide,13973-87-0
BrO2,brominedioxide,21255-83-4
Br2O,brominemonoxide,21308-80-5
C10H16N2O8,Ethylenediaminetetraaceticacid-(EDTA),6381-92-6
C12H22O11,sucrose,57-50-1
C20H25N30,Lysergicaciddiethylamide-(LSD),50-37-3
C123H193N35O37,Commonserumalbumin-(macromolecule),9048-49-1
Ca(AlH4)2,calciumtetrahydroaluminate,16941-10-9
CaAl2O4,calciumaluminate,12042-68-1
CaB6,calciumboride,12007-99-7
CaBr2,calciumbromide,7789-41-5
Ca(CHO2)2,calciumformate,544-17-2
Ca(CN)2,calciumcyanide,592-01-8
CaCN2,calciumcyanamide,156-62-7
CaCO3,calciumcarbonate,471-34-1
CaC2,calciumcarbide,75-20-7
Ca(C2HO2)2,calciumfumarate,19855-56-2
Ca(C2H3O2)2,calciumacetate,62-54-4
CaC2O4,calciumoxalate,563-72-4
Ca(C3H5O2)2,calciumpropionate,4075-81-4
Ca(ClO3)2,calciumchlorate,10137-74-3
Ca(ClO4)2,calciumperchlorate,13477-36-6
CaCl2,calciumchloride,10043-52-4
CaCl2-6H2O,calciumchloridehexahydrate,7774-34-7
CaCl2O2,calciumhypochlorite,7778-54-3
CaCr2O7,calciumchromate,14307-33-6
CaF2,calciumfluoride,7789-75-5
CaHPO4,calciumhydrogenorthophosphate,7757-93-9
CaH2,calciumhydride,7789-78-8
Ca(H2PO2)2,calciumhypophosphite,7789-79-9
Ca(H2PO4)2,calciumdihydrogenphosphatemonohydrate,7758-23-8
Ca(IO3)2,calciumiodate,7789-80-2
CaI2,calciumiodide,10102-68-8
Ca(MnO4)2,calciumpermanganate,10118-76-0
CaMoO4,calciummolybdate,7789-82-4
Ca(NO2)2,calciumnitrite,13780-06-8
Ca(NO3)2,calciumnitrate,10124-37-5
CaO,calciumoxide,1305-78-8
Ca(OH)2,calciumhydroxide,1305-62-0
CaO2,calciumperoxide,1305-79-9
CaRe2O8,calciumperrhenate,13768-54-2
CaS,calciumsulfide,20548-54-3
CaSO4,calciumsulfate,7778-18-9
CaSe,calciumselenide,1305-84-6
CaSiO3,calciummetasilicate,1344-95-2
CaSi2,calciumsilicide,12013-56-8
CaTe,calciumtelluride,12013-57-9
CaTiO3,calciumtitanate,12049-50-2
CaWO4,calciumtungstate,7790-75-2
Ca2P2O7,calciumpyrophosphate,7790-76-3
Ca2SiO4,calciumsilicate,1344-95-2
Ca3(AsO4)2,calciumarsenate,7778-44-1
Ca3(C6H15O7)2,calciumcitrate,5785-44-4
Ca3N2,calciumnitride,12013-82-0
Ca3(PO4)2,calciumphosphate,7758-87-4
Ca3P2,calciumphosphide,1305-99-3
CdBr2,cadmiumbromide,7789-42-6
Cd(CN)2,cadmiumcyanide,542-83-6
CdCO3,cadmiumcarbonate,513-78-0
Cd(C2H3O2)2,cadmiumacetate,543-90-8
CdC2O4,cadmiumoxalate,814-88-0
CdCl2,cadmiumchloride,10108-64-2
CdCrO4,cadmiumchromate,14312-00-6
CdF2,cadmiumfluoride,7790-79-6
Cd(IO3)2,cadmiumiodate,7790-81-0
CdI2,cadmiumiodide,7790-80-9
CdMoO4,cadmiummolybdate,13972-68-4
Cd(NO3)2,cadmiumnitrate,10325-94-7
Cd(N3)2,cadmiumazide,14215-29-3
CdO,cadmiumoxide,1306-19-0
Cd(OH)2,cadmiumhydroxide,21041-95-2
CdS,cadmiumsulfide,1306-23-6
CdSO4,cadmiumsulfate,10124-36-4
CdSb,cadmiumantimonide,12014-29-8
CdSe,cadmiumselenide,1306-24-7
CdSiO3,cadmiumsilicate,13477-19-5
CdTe,cadmiumtelluride,1306-25-8
CdTiO4,cadmiumtitanate,12014-14-1
CdWO4,cadmiumtungstate,7790-85-4
Cd2Nb2O7,cadmiumniobate,12187-14-3
Cd3As2,cadmiumarsenide,12006-15-4
Cd3P2,cadmiumphosphide,12014-28-7
Cd3N2,cadmiumnitride,12380-95-9
CeBr3,cerium(III)bromide,7790-86-5
Ce(CHO2)3,cerium(III)formate,3252-51-5
CeCl3,cerium(III)chloride,7790-86-5
CeF2,cerium(II)fluoride,22655-57-8
CeF3,cerium(III)fluoride,7758-88-5
CeF4,cerium(IV)fluoride,10060-10-3
CeH2,cerium(II)hydride,13569-50-1
CeI2,cerium(II)iodide,19139-47-0
CeI3,cerium(III)iodide,7790-87-6
CeN,cerium(III)nitride,25764-08-3
CeO2,cerium(IV)oxide,1306-38-3
CeS,cerium(II)sulfide,12014-82-3
CeVO2,cerium(III)vanadate,13597-19-8
Ce2(C2O4)3,cerium(III)oxalate,15750-47-7
Ce2O3,cerium(III)oxide,1306-38-3
Ce2S3,cerium(III)sulfide,12014-93-6
CfBr2,californium(II)bromide,36700-18-2
CfBr3,californium(III)bromide,20758-68-3
CfCl2,californium(II)chloride,99643-99-9
CfCl3,californium(III)chloride,13536-90-8
CfF3,californium(III)fluoride,42775-52-0
CfF4,californium(IV)fluoride,42845-08-9
CfI2,californium(II)iodide,49774-08-5
CfI3,californium(III)iodide,20758-81-0
CfO2,californium(IV)oxide,12015-10-0
Cf2O3,californium(III)oxide,12050-91-8
(CH3)2SO,Dimethylsulfoxide-(DMSO),67-68-5
ClF,chlorinemonofluoride,7790-89-8
ClF3,chlorinetrifluoride,7790-91-2
ClF5,chlorinepentafluoride,13637-63-3
ClOClO3,chlorineperchlorate,27218-16-2
Cl2O,chlorinemonoxide,7791-21-1
ClO2,chlorinedioxide,10049-04-4
Cl2O3,chlorinetrioxide,17496-59-2
Cl2O6,chlorinehexoxide,12442-63-6
Cl2O7,chlorineheptoxide,10294-48-1
CmBr3,curium(III)bromide,14890-42-7
CmCl3,curium(III)chloride,13537-20-7
CmF3,curium(III)fluoride,13708-79-7
CmF4,curium(IV)fluoride,24311-95-3
CmI3,curium(III)iodide,14696-85-6
CmO,curium(II)oxide,24762-86-5
CmO2,curium(IV)oxide,12016-67-0
Cm2O3,curium(III)oxide,12371-27-6
CHN,hydrogencyanide,74-90-8
CoAl2O4,cobalt(II)aluminate,13820-62-7
CoBr2,cobalt(II)bromide,7789-43-7
Co(CN)2,cobalt(II)cyanide,542-84-7
Co(C2H3O2)2,cobalt(II)acetate,71-48-7
Co(C2H3O2)2,cobalt(II)acetatetetrahydrate,6147-53-1
CoC2O4,cobalt(II)oxalate,814-89-1
Co(C11H10O2)2,cobalt(II)naphthenate,61789-51-3
CoC15H21O6,cobalt(III)acetylacetonate,21679-46-9
Co(ClO4)2,cobalt(II)perchlorate,13455-31-7
CoCl2,cobalt(II)chloride,7646-79-9
CoCl2-6H2O,cobalt(II)chloridehexahydrate,7791-13-1
CoCl3,cobalt(III)chloride,10241-04-0
CoCrO4,cobalt(II)chromate,24613-38-5
CoCr2O4,cobalt(II)chromite,13455-25-9
CoF2,cobalt(II)fluoride,10026-17-2
CoF3,cobalt(III)fluoride,10026-18-3
CoF4,cobalt(IV)fluoride,13596-45-7
CoI2,cobalt(II)iodide,15238-00-3
Co(IO3)2,cobalt(II)iodate,13455-28-2
CoMoO4,cobalt(II)molybdate,13762-14-6
Co(NO3)2,cobalt(II)nitrate,10141-05-6
Co(NO3)2-6H2O,cobalt(II)nitratehexahydrate,10026-22-9
Co(NO3)3,cobalt(III)nitrate,15520-84-0
CoO,cobalt(II)oxide,1307-96-6
Co(OH)2,cobalt(II)hydroxide,21041-93-0
Co(OH)3,cobalt(III)hydroxide,1307-86-4
CoS,cobalt(II)sulfide,1317-42-6
CoS2,cobalt(IV)sulfide,12013-10-4
CoSe,cobalt(II)selenide,1307-99-9
CoTe,cobalt(II)telluride,12017-13-9
CoTiO3,cobalt(II)titanate,12017-01-5
CoWO4,cobalt(II)tungstate,12640-47-0
Co2O3,cobalt(III)oxide,1308-04-9
Co2O3-H2O,cobalt(III)oxidemonohydrate,12016-80-7
CoSO4,cobalt(II)sulfate,10124-43-3
Co2S3,cobalt(III)sulfide,1332-71-4
Co2SiO4,cobalt(II)orthosilicate,12017-08-2
Co2SnO4,cobalt(II)stannate,12139-93-4
Co2TiO4,cobalt(III)titanate,12017-38-8
Co3(Fe(CN)6)2,cobalt(II)ferricyanide,14049-81-1
CrBr2,chromium(II)bromide,10049-25-9
CrBr3,chromium(III)bromide,10031-25-1
CrBr4,chromium(IV)bromide,23098-84-2
Cr(C6H4NO2)3,chromium(III)picolinate,14639-25-9
Cr(CO)6,chromium(VI)carbonyl,13007-92-6
CrCl2,chromium(II)chloride,10049-05-5
CrCl3,chromium(III)chloride,10025-73-7
CrCl4,chromium(IV)chloride,15597-88-3
CrF2,chromium(II)fluoride,10049-10-2
CrF3,chromium(III)fluoride,7788-97-8
CrF4,chromium(IV)fluoride,10049-11-3
CrF5,chromium(V)fluoride,14884-42-5
CrF6,chromium(VI)fluoride,13843-28-2
CrI2,chromium(II)iodide,13478-28-9
CrI3,chromium(III)iodide,13569-75-0
CrI4,chromium(IV)iodide,23518-77-6
CrN,chromium(III)nitride,12053-27-9
Cr(NO3)3,chromium(III)nitrate,13548-38-4
CrO2,chromium(IV)oxide,12018-01-8
CrO3,chromium(VI)oxide,1333-82-0
CrPO4,chromium(III)phosphate,7789-04-0
CrSe,chromium(II)selenide,12053-13-3
CrO2F2,chromylfluoride,7788-96-7
CrO2Cl2,chromylchloride,14977-61-8
Cr2O3,chromium(III)oxide,1308-38-9
Cr2(SO4)3,chromium(III)sulfate,10101-53-8
Cr2S3,chromium(III)sulfide,12018-22-3
Cr2Te3,chromium(III)telluride,12053-39-3
Cr3C2,chromium(II)carbide,12012-35-0
Cr3O4,"chromium(II,III)oxide",12018-34-7
CsBO2,caesiummetaborate,92141-86-1
CsBr,caesiumbromide,7787-69-1
CsBrO3,caesiumbromate,13454-75-6
CsCN,caesiumcyanide,21159-32-0
CsC2H3O2,caesiumacetate,3399-17-5
CsCl,caesiumchloride,7647-17-8
CsClO3,caesiumchlorate,13763-67-2
CsClO4,caesiumperchlorate,13454-84-7
CsF,caesiumfluoride,13400-13-0
CsH,caesiumhydride,58724-12-2
CsI,caesiumiodide,7789-17-5
CsIO3,caesiumiodate,13454-81-4
CsIO4,caesiumperiodate,13478-04-1
CsMnO4,caesiumpermanganate,13456-28-5
CsNH2,caesiumamide,22205-57-8
CsNO2,caesiumnitrite,13454-83-6
CsNO3,caesiumnitrate,7789-18-6
CsN3,caesiumazide,22750-57-8
CsOH,caesiumhydroxide,21351-79-1
CsO2,caesiumsuperoxide,12018-61-0
CsVO3,caesiumvanadate,14644-55-4
Cs2CO3,caesiumcarbonate,534-17-8
Cs2C2O4,caesiumoxalate,1068-63-9
Cs2CdI4,caesiumtetraiodocadamate,15683-21-3
Cs2CrO4,caesiumchromate,56320-90-2
Cs2MoO4,caesiummolybdate,13597-64-3
Cs2O,caesiumoxide,20281-00-9
Cs2O2,caesiumperoxide,12053-70-2
Cs2S,caesiumsulfide,12214-16-3
Cs2SO4,caesiumsulfate,10294-54-9
Cs2Se,caesiumselenide,31052-46-7
Cs2Te,caesiumtelluride,12191-06-9
Cs2WO4,caesiumtungstate,13587-19-4
Cs2ZnI4,caesiumtetraiodozincate,15158-68-6
Cu(BF4)2,copper(II)tetrafluoroborate,14735-84-3
Cu(BO2)2,copper(II)borate,393290-85-2
CuBr,copper(I)bromide,7787-70-4
CuBr2,copper(II)bromide,7789-45-9
Cu(CHO2)2,copper(II)formate,544-19-4
CuCN,copper(I)cyanide,544-92-3
Cu(CN)2,copper(II)cyanide,14763-77-0
CuC2,copper(II)acetylide,1117-94-8
CuC2H3O2,copper(I)acetate,598-54-9
Cu(C2H3O2)2,copper(II)acetate,142-71-2
CuC2O4,copper(II)oxalate,814-91-5
Cu(C16H35O2)2,copper(II)stearate,660-60-6
Cu(C18H33O2)2,copper(II)oleate,1120-44-1
CuCl,copper(I)chloride,7758-89-6
Cu(ClO4)2,copper(II)perchlorate,13770-18-8
CuCl2,copper(II)chloride,7447-39-4
CuCl2-2H2O,copper(II)chloridedihydrate,10125-13-0
CuCrO4,copper(II)chromate,13548-42-0
CuF,copper(I)fluoride,13478-41-6
CuF2,copper(II)fluoride,7789-19-7
CuH,copper(I)hydride,13517-00-5
CuHAsO3,copper(II)arsenite,10290-12-7
CuI,copper(I)iodide,7681-65-4
CuMoO4,copper(II)molybdate,13767-34-5
Cu(NO3)2,copper(II)nitrate,3251-23-8
CuN3,copper(I)azide,14336-80-2
Cu(N3)2,copper(II)azide,14215-30-6
CuO,copper(II)oxide,1317-38-0
Cu(OH)2,copper(II)hydroxide,20427-59-2
CuS,copper(II)sulfide,1317-40-4
CuSCN,copper(I)thiocyanate,1111-67-7
CuSO4,copper(II)sulfate,7758-98-7
CuSe,copper(II)selenide,1317-41-5
CuTe,copper(II)telluride,12019-23-7
CuWO4,copper(II)tungstate,13587-35-4
Cu2C2,copper(I)acetylide,1117-94-8
Cu2Fe(CN)6,copper(II)ferrocyanide,13601-13-3
Cu2O,copper(I)oxide,1317-39-1
Cu2P2O7,copper(II)pyrophosphate,10102-90-6
Cu2S,copper(I)sulfide,22205-45-4
Cu2Se,copper(I)selenide,20405-64-5
Cu2Te,copper(I)telluride,12019-52-2
Cu3(AsO4)2,copper(II)arsenate,10103-61-4
DyB4,dysprosium(II)boride,12310-43-9
DyBr2,dysprosium(II)bromide,83229-05-4
DyBr3,dysprosium(III)bromide,14456-48-5
Dy(CHO2)3,dysprosium(III)formate,3252-58-2
DyCl2,dysprosium(II)chloride,13767-31-2
DyCl3,dysprosium(III)chloride,10025-74-8
DyF3,dysprosium(III)fluoride,13569-80-7
DyH3,dysprosium(III)hydride,13537-09-2
DyI2,dysprosium(II)iodide,36377-94-3
DyI3,dysprosium(III)iodide,15474-63-2
DyN,dysprosium(III)nitride,12019-88-4
DySi2,dysprosium(II)silicide,12133-07-2
Dy2O3,dysprosium(III)oxide,1308-87-8
Dy2S3,dysprosium(III)sulfide,12133-10-7
ErB4,erbium(III)boride,12310-44-0
ErBr3,erbium(III)bromide,13536-73-7
Er(CHO2)3,erbium(III)formate,15331-72-3
ErCl3,erbium(III)chloride,10138-41-7
ErCl3-6H2O,erbium(III)chloridehexahydrate,10025-75-9
ErF3,erbium(III)fluoride,13760-83-3
ErH3,erbium(III)hydride,13550-53-3
ErI3,erbium(III)iodide,13813-42-8
ErN,erbium(III)nitride,12020-21-2
ErNbO4,erbium(III)niobate,12061-00-6
ErS,erbium(II)sulfide,12159-66-9
ErTe,erbium(II)telluride,12020-39-2
ErVO4,erbium(III)vanadate,13596-17-3
Er2O3,erbium(III)oxide,12061-16-4
Er2(SO4)3,erbium(III)sulfate,13478-49-4
Er2S3,erbium(III)sulfide,12159-66-9
Er2Te3,erbium(III)telluride,12020-39-2
EsBr2,einsteinium(II)bromide,70292-43-2
EsBr3,einsteinium(III)bromide,72461-17-7
EsCl2,einsteinium(II)chloride,66693-95-6
EsCl3,einsteinium(III)chloride,24645-86-1
EsF3,einsteinium(III)fluoride,99644-27-6
EsI2,einsteinium(II)iodide,70292-44-3
EsI3,einsteinium(III)iodide,99644-28-7
Es2O3,einsteinium(III)oxide,37362-94-0
EuBr2,europium(II)bromide,13780-48-8
EuBr3,europium(III)bromide,13759-88-1
Eu(CHO2)3,europium(III)formate,3252-55-9
EuCl2,europium(II)chloride,13769-20-5
EuCl3,europium(III)chloride,10025-76-0
EuF2,europium(II)fluoride,14077-39-5
EuF3,europium(III)fluoride,13765-25-8
EuI2,europium(II)iodide,22015-35-6
EuI3,europium(III)iodide,13759-90-5
EuN,europium(III)nitride,12020-58-5
Eu(NbO3)2,europium(II)niobate,55216-32-5
EuS,europium(II)sulfide,12020-65-4
EuSe,europium(II)selenide,12020-66-5
EuSi2,europium(II)silicide,12434-24-1
EuTe,europium(II)telluride,12020-69-8
EuVO4,europium(II)vanadate,13537-11-6
Eu2O3,europium(III)oxide,1308-96-9
Eu2(SO4)3,europium(III)sulfate,13537-15-0
FNO3,fluorinenitrate,7789-26-6
FOClO3,fluorineperchlorate,10049-03-3
F2O,fluorinemonoxide,7783-41-7
